경우의 수,게임 기록,총보상,결과
118,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.51) / 일반 공격(성공: 4.50),0.99,승리
119,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: 4.50),0.98,승리
120,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: 1.00) / 일반 공격(성공: 0.50),0.98,승리
121,일반 공격(실패: -2.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -0.52) / 일반 공격(성공: 4.50),0.98,승리
122,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: 4.50),0.98,승리
123,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -3.52) / 일반 공격(성공: 4.50),0.98,승리
124,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: 4.50),0.97,승리
125,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.54) / 일반 공격(성공: 4.50),0.96,승리
126,일반 공격(성공: 1.45) / 일반 공격(성공: -5.00) / 일반 공격(성공: 4.50),0.95,승리
127,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.56) / 일반 공격(성공: 4.50),0.94,승리
128,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.56) / 일반 공격(성공: 4.50),0.94,승리
129,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.57) / 일반 공격(성공: 1.00) / 일반 공격(성공: 0.50),0.93,승리
130,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.57) / 일반 공격(성공: 4.50),0.93,승리
131,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -3.57) / 일반 공격(성공: 4.50),0.93,승리
132,일반 공격(성공: 3.00) / 틈새 공격(성공: -1.59) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),0.91,승리
133,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -3.59) / 일반 공격(성공: 4.50),0.91,승리
134,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.59) / 일반 공격(성공: 4.50),0.91,승리
135,틈새 공격(성공: 0.41) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),0.91,승리
136,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.59) / 일반 공격(성공: -1.00) / 일반 공격(성공: 2.50),0.91,승리
137,틈새 공격(성공: 0.40) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 2.50),0.9,승리
138,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.60) / 일반 공격(성공: 4.50),0.9,승리
139,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: 4.50),0.89,승리
140,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -3.61) / 일반 공격(성공: 4.50),0.89,승리
